date,ticker,sector,entry_time,exit_time,entry,exit,stop,target,shares,cost,gross_pnl,commission,net_pnl,exit_reason,rsi_entry,vol_ratio,atr
2026-04-15,PLUG,Hydrogen,2026-04-15 18:10:00+00:00,2026-04-15 18:45:00+00:00,2.91,2.8834,2.8834,2.9631,17,49.47,-0.4514,0.17,-0.6214,STOP,63.7,1.91,0.0177
2026-04-15,PLUG,Hydrogen,2026-04-15 19:45:00+00:00,2026-04-15 19:55:00+00:00,2.915,2.925,2.893,2.959,17,49.55,0.17,0.17,-0.0,EOD,62.4,1.22,0.0147
2026-04-16,PLUG,Hydrogen,2026-04-16 18:20:00+00:00,2026-04-16 19:25:00+00:00,2.8405,2.8152,2.8152,2.8912,17,48.29,-0.4309,0.17,-0.6009,STOP,58.5,1.28,0.0169
2026-04-16,PLUG,Hydrogen,2026-04-16 19:35:00+00:00,2026-04-16 19:55:00+00:00,2.84,2.8501,2.8149,2.8901,17,48.28,0.1717,0.17,0.0017,EOD,54.7,1.29,0.0167
2026-04-20,PLUG,Hydrogen,2026-04-20 15:35:00+00:00,2026-04-20 16:55:00+00:00,2.885,2.972,2.8415,2.972,17,49.04,1.4787,0.17,1.3087,TARGET,65.0,1.9,0.029
2026-04-20,PLUG,Hydrogen,2026-04-20 17:00:00+00:00,2026-04-20 19:35:00+00:00,3.0307,3.1312,2.9804,3.1312,16,48.49,1.6087,0.16,1.4487,TARGET,76.8,1.52,0.0335
2026-04-22,PLUG,Hydrogen,2026-04-22 15:30:00+00:00,2026-04-22 16:40:00+00:00,3.15,3.1108,3.1108,3.2283,15,47.25,-0.5873,0.15,-0.7373,STOP,57.0,1.77,0.0261
2026-04-22,PLUG,Hydrogen,2026-04-22 18:05:00+00:00,2026-04-22 19:55:00+00:00,3.15,3.185,3.1218,3.2065,15,47.25,0.525,0.15,0.375,EOD,59.7,1.3,0.0188
2026-04-23,PLUG,Hydrogen,2026-04-23 19:40:00+00:00,2026-04-23 19:55:00+00:00,3.1595,3.2,3.131,3.2165,15,47.39,0.6075,0.15,0.4575,EOD,65.4,2.41,0.019
2026-04-24,PLUG,Hydrogen,2026-04-24 15:25:00+00:00,2026-04-24 16:40:00+00:00,3.2864,3.2273,3.2273,3.4046,15,49.3,-0.8863,0.15,-1.0363,STOP,75.8,1.81,0.0394
